Team,P,W,L,D,F,A
Adelaide Crows,22,12,10,0,1941,1865
Brisbane Lions,22,5,17,0,1825,2049
Carlton,22,2,20,0,1353,2282
Collingwood,22,15,7,0,2046,1699
Essendon,22,12,10,0,1932,1838
Fremantle,22,8,14,0,1556,2041
Geelong Cats,22,13,9,0,2045,1554
Gold Coast Suns,22,4,18,0,1308,2182
GWS Giants,22,13,8,1,1898,1661
Hawthorn,22,15,7,0,1972,1642
Melbourne,22,14,8,0,2299,1749
North Melbourne,22,12,10,0,1950,1790
Port Adelaide,22,12,10,0,1780,1654
Richmond,22,18,4,0,2143,1574
St Kilda,22,4,17,1,1606,2125
Sydney Swans,22,14,8,0,1822,1664
West Coast Eagles,22,16,6,0,2012,1657
Western Bulldogs,22,8,14,0,1575,2037
